section_key,section_name,kind,placeholder_path,repeat_block_path,table,row,col,binary_item_id,optional,deferred,note
cover,Cover,text,cover.site_name,,,,,,,false,
cover,Cover,text,cover.report_date,,,,,,,false,
cover,Cover,text,cover.drafter,,,,,,,false,
cover,Cover,text,cover.reviewer,,,,,,,false,
cover,Cover,text,cover.approver,,,,,,,false,
cover,Cover,text,cover.company_name,,,,,,,false,
cover,Cover,text,cover.headquarters_address,,,,,,,false,
cover,Cover,text,cover.headquarters_contact,,,,,,,false,
sec1,1. Site Overview,text,sec1.site_name,,,,,,,false,
sec1,1. Site Overview,text,sec1.site_management_number,,,,,,,false,
sec1,1. Site Overview,text,sec1.business_start_number,,,,,,,false,
sec1,1. Site Overview,text,sec1.construction_period,,,,,,,false,
sec1,1. Site Overview,text,sec1.construction_amount,,,,,,,false,
sec1,1. Site Overview,text,sec1.site_manager_name,,,,,,,false,
sec1,1. Site Overview,text,sec1.site_contact,,,,,,,false,
sec1,1. Site Overview,text,sec1.site_address,,,,,,,false,
sec1,1. Site Overview,text,sec1.company_name,,,,,,,false,
sec1,1. Site Overview,text,sec1.corporation_registration_number,,,,,,,false,
sec1,1. Site Overview,text,sec1.business_registration_number,,,,,,,false,
sec1,1. Site Overview,text,sec1.license_number,,,,,,,false,
sec1,1. Site Overview,text,sec1.headquarters_contact,,,,,,,false,
sec1,1. Site Overview,text,sec1.headquarters_address,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.guidance_agency_name,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.guidance_date,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.construction_type,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.progress_rate,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.visit_count,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.total_visit_count,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.assignee,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.previous_implementation_status,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.contact,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.notification_method_text,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.notification_recipient_name,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.notification_recipient_signature,,,,,,,false,image source is written as text fallback in this template
sec2,2. Guidance Overview,text,sec2.other_notification_method,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.accident_occurred,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.recent_accident_date,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.accident_type,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.accident_summary,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.process_and_notes,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.tower_crane,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.tunnel_excavation,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.vehicle_loading_machine,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.bridge_work,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.construction_machine,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.quarry_work,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.chemical_facility,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.building_demolition,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.electrical_work,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.heavy_material_handling,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.earthwork,,,,,,,false,
sec2,2. Guidance Overview,text,sec2.work_plan_checks.railway_facility_maintenance,,,,,,,false,
sec2,2. Guidance Overview,image,sec2.notification_recipient_signature_image,,2,14,2,tplimg22,true,false,
sec3,3. Site Photos,text,sec3.fixed[0].description,,,,,,,false,
sec3,3. Site Photos,text,sec3.fixed[1].description,,,,,,,false,
sec3,3. Site Photos,text,sec3.extra[0].title,,,,,,,false,
sec3,3. Site Photos,text,sec3.extra[0].description,,,,,,,false,
sec3,3. Site Photos,text,sec3.extra[1].title,,,,,,,false,
sec3,3. Site Photos,text,sec3.extra[1].description,,,,,,,false,
sec3,3. Site Photos,image,sec3.fixed[0].photo_image,,2,2,0,tplimg01,false,false,
sec3,3. Site Photos,image,sec3.fixed[1].photo_image,,2,2,1,tplimg02,false,false,
sec3,3. Site Photos,image,sec3.extra[0].photo_image,,2,4,0,tplimg03,false,false,
sec3,3. Site Photos,image,sec3.extra[1].photo_image,,2,4,1,tplimg04,false,false,
sec3,3. Site Photos,image,sec3.extra[2].photo_image,,2,6,0,tplimg05,false,false,
sec3,3. Site Photos,image,sec3.extra[3].photo_image,,2,6,2,tplimg06,false,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[0].location,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[0].guidance_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[0].confirmation_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[0].before_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[0].after_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[0].result,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[1].location,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[1].guidance_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[1].confirmation_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[1].before_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[1].after_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[1].result,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[2].location,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[2].guidance_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[2].confirmation_date,sec4.follow_ups,,,,,,false,
sec4,4. Follow-up Results,text,sec4.follow_ups[2].before_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[2].after_image_note,sec4.follow_ups,,,,,,false,image source is written as text fallback in this template
sec4,4. Follow-up Results,text,sec4.follow_ups[2].result,sec4.follow_ups,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[0].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[1].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[2].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[3].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[4].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[5].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[6].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[7].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[8].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[9].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[10].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[11].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[12].checked_box,,,,,,,false,
sec6,6. Preventive Measures,text,sec6.measures[13].checked_box,,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].location,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].risk_text,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].accident_type,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].causative_agent,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].inspector,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].emphasis,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].improvement_plan,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].legal_reference_title,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].reference_material_1,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,text,sec7.findings[0].reference_material_2,sec7.findings,,,,,,false,
sec7,7. Findings and Improvements,image,sec7.findings[0].photo_image,sec7.findings,5,2,0,tplimg07,false,false,
sec7,7. Findings and Improvements,image,sec7.findings[0].photo_image_2,sec7.findings,5,2,2,tplimg08,false,false,
sec7,7. Findings and Improvements,image,sec7.findings[0].reference_material_1_image,sec7.findings,5,8,0,tplimg09,false,false,
sec7,7. Findings and Improvements,image,sec7.findings[0].reference_material_2_image,sec7.findings,5,8,2,tplimg10,false,false,
sec8,8. Process Risk Assessment,text,sec8.plans[0].process_name,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[0].hazard,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[0].countermeasure,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[1].process_name,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[1].hazard,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[1].countermeasure,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[2].process_name,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[2].hazard,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[2].countermeasure,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[3].process_name,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[3].hazard,sec8.plans,,,,,,false,
sec8,8. Process Risk Assessment,text,sec8.plans[3].countermeasure,sec8.plans,,,,,,false,
